Price,Model,"Year, Engine, Distance","Location, Date"
48 900 AZN,Leapmotor C11,"2024, 1.5 L, 0 km","Bakı, bugün 13:05"
27 900 $,Changan Deepal S7,"2024, 1.5 L, 0 km","Bakı, bugün 09:33"
25 300 AZN,Changan Qiyuan A05,"2025, 1.5 L, 0 km","Bakı, bugün 16:04"
21 500 $,Porsche Cayenne Turbo,"2011, 4.8 L, 165 000 km","Bakı, bugün 17:09"
17 300 AZN,Mini Countryman,"2013, 1.6 L, 182 000 km","Bakı, dünən 20:37"
41 000 AZN,Toyota Land Cruiser Prado,"2012, 2.7 L, 206 900 km","Bakı, dünən 20:15"
30 000 $,Toyota RAV4,"2020, 2.5 L, 109 000 km","Bakı, dünən 21:09"
193 000 $,Land Rover Range Rover,"2023, 3.0 L, 4 700 km","Bakı, bugün 13:05"
42 500 AZN,Polaris RZR XP 1000,"2022, 1000 sm3, 510 km","Bakı, dünən 23:13"
50 000 $,Land Rover Range Rover,"2014, 5.0 L, 92 000 km","Bakı, bugün 13:38"
26 700 $,Ford Mustang,"2019, 2.3 L, 76 000 km","Bakı, bugün 19:05"
28 900 $,BMW 520,"2017, 2.0 L, 170 000 km","Bakı, dünən 19:42"
21 000 AZN,Land Rover Discovery,"2008, 2.7 L, 187 000 km","Bakı, bugün 19:33"
12 500 AZN,Mercedes E 240,"1999, 2.6 L, 322 000 km","Bakı, bugün 19:32"
24 500 AZN,Volkswagen Jetta,"2019, 1.4 L, 101 400 km","Bakı, bugün 19:32"
18 241 AZN,Khazar LD,"2023, 1.7 L, 145 000 km","Xırdalan, bugün 19:32"
23 800 AZN,Hyundai Elantra,"2017, 2.0 L, 46 897 km","Bakı, bugün 19:32"
39 800 $,BMW 530e,"2022, 2.0 L, 43 000 km","Bakı, bugün 19:32"
44 700 $,Land Rover Range Rover,"2016, 3.0 L, 137 000 km","Bərdə, bugün 19:31"
24 650 AZN,Volkswagen Jetta,"2019, 1.4 L, 114 500 km","Bakı, bugün 19:31"
24 350 AZN,Volkswagen Jetta,"2019, 1.4 L, 113 540 km","Bakı, bugün 19:31"
24 700 AZN,Mercedes C 250,"2014, 1.8 L, 184 500 km","Mingəçevir, bugün 19:31"
14 500 AZN,KamAz 55111,"1989, 11 L, 200 000 km","Bakı, bugün 19:31"
8 200 AZN,LADA (VAZ) Kalina,"2008, 1.6 L, 400 000 km","Qusar, bugün 19:31"
48 000 AZN,Hyundai H-1,"2020, 2.5 L, 86 000 km","Bakı, bugün 19:30"
5 200 AZN,LADA (VAZ) 2107,"2004, 1.6 L, 90 000 km","Bakı, bugün 19:30"
8 000 AZN,Mercedes Viano,"2005, 2.2 L, 185 000 km","Bakı, bugün 19:30"
52 900 $,BMW X5,"2020, 3.0 L, 95 000 km","Bakı, bugün 19:30"
4 600 AZN,Mitsubishi Pajero io,"1999, 1.8 L, 330 000 km","Bakı, bugün 19:30"
27 000 AZN,Hyundai Grandeur,"2015, 2.2 L, 160 000 km","Bakı, bugün 19:30"
22 500 AZN,BMW 528,"2012, 2.0 L, 127 000 km","Bakı, bugün 19:30"
50 900 $,Land Rover RR Sport,"2018, 3.0 L, 98 000 km","Bakı, bugün 19:30"
18 300 $,Mercedes C 300,"2015, 2.0 L, 135 000 km","Bakı, bugün 19:30"
38 400 AZN,Kia Sorento,"2016, 2.0 L, 156 000 km","Bakı, bugün 19:30"
16 100 AZN,Mercedes E 220 d,"2001, 2.2 L, 452 000 km","Qəbələ, bugün 19:29"
23 500 AZN,Hyundai Equus,"2011, 4.6 L, 200 150 km","Bakı, bugün 19:29"
114 931 €,Mercedes GLE 53 AMG 4MATIC Coupe,"2023, 3.0 L, 0 km","Bakı, bugün 12:30"
49 600 $,BMW i5,"2025, 0 km","Bakı, bugün 16:08"
48 500 AZN,Mercedes E 220 d,"2016, 2.0 L, 140 004 km","Sumqayıt, bugün 12:15"
30 400 AZN,Bestune T77,"2025, 1.5 L, 0 km","Bakı, bugün 08:30"
18 200 AZN,Hyundai Sonata,"2010, 2.4 L, 374 287 km","Bakı, bugün 09:22"
30 000 $,Mercedes A 250,"2021, 2.0 L, 60 000 km","Bakı, bugün 08:47"
18 000 AZN,Mercedes C 200,"2000, 2.0 L, 117 000 km","Bakı, dünən 21:25"
43 500 AZN,Hyundai Sonata,"2022, 2.0 L, 43 000 km","Bakı, bugün 13:32"
31 500 AZN,Kia Optima,"2020, 2.4 L, 105 000 km","Bakı, bugün 18:04"
24 700 AZN,Kia Forte,"2019, 2.0 L, 59 800 km","Bakı, bugün 12:11"
11 000 AZN,Subaru Legacy,"2008, 2.0 L, 323 000 km","Bakı, bugün 13:55"
34 200 $,Toyota Camry,"2023, 2.5 L, 41 200 km","Bakı, bugün 12:55"
4 000 AZN,LADA (VAZ) 2107,"2002, 1.6 L, 98 000 km","Sumqayıt, bugün 19:29"
31 500 $,Toyota Land Cruiser,"2011, 4.7 L, 163 000 km","Gəncə, bugün 19:29"
18 500 AZN,Hyundai Sonata,"2009, 2.4 L, 297 600 km","Bakı, bugün 19:29"
18 100 AZN,LADA (VAZ) Niva,"2025, 1.7 L, 0 km","Bakı, bugün 19:29"
17 200 AZN,Hyundai Elantra,"2014, 1.8 L, 127 000 km","Bakı, bugün 19:29"
30 900 AZN,Kia Optima,"2019, 2.0 L, 79 111 km","Bakı, bugün 19:29"
20 500 AZN,Hyundai Elantra,"2016, 2.0 L, 95 000 km","Bakı, bugün 19:28"
3 300 AZN,BMW 318,"1992, 1.8 L, 253 330 km","Bakı, bugün 19:28"
21 879 AZN,Ford Fusion (North America),"2018, 1.5 L, 282 111 km","Bakı, bugün 19:28"
25 900 AZN,BMW 528,"2014, 2.0 L, 190 000 km","Bakı, bugün 19:28"
5 940 AZN,LADA (VAZ) 2106,"2005, 1.5 L, 95 000 km","Bakı, bugün 19:28"
34 900 AZN,Kia Sorento,"2015, 2.0 L, 166 400 km","Bakı, bugün 19:28"
19 500 $,BMW M6,"2008, 5.0 L, 104 000 km","Bakı, bugün 19:27"
33 900 AZN,Kia Sorento,"2015, 2.0 L, 152 000 km","Bakı, bugün 19:27"
36 000 $,Toyota Camry,"2020, 2.5 L, 28 000 km","Bakı, bugün 19:26"
21 800 AZN,Kia Sportage,"2011, 2.0 L, 250 000 km","Bakı, bugün 19:26"
22 000 $,Toyota Corolla Cross,"2025, 2.0 L, 0 km","Bakı, bugün 19:26"
13 800 AZN,Ford Transit,"1998, 2.5 L, 432 000 km","İmişli, bugün 19:26"
22 000 AZN,Hyundai Avante,"2016, 1.6 L, 198 600 km","Bakı, bugün 19:26"
48 800 AZN,Hyundai Santa Fe,"2022, 2.5 L, 55 000 km","Bakı, bugün 19:26"
10 600 AZN,Toyota Prius,"2006, 1.5 L, 301 000 km","Gəncə, bugün 19:26"
10 500 $,Hyundai Accent,"2014, 1.6 L, 188 293 km","Bakı, bugün 19:26"
23 800 $,BMW 530,"2019, 2.0 L, 70 000 km","Bakı, bugün 19:25"
44 000 $,Toyota RAV4,"2024, 2.5 L, 0 km","Bakı, bugün 19:24"
78 500 AZN,GAZ NEXT A68R52 CITY LINE,"2023, 2.8 L, 0 km","Bakı, bugün 15:03"
36 040 $,Toyota Land Cruiser,"2013, 4.0 L, 140 213 km","Bakı, bugün 09:43"
34 900 AZN,Kia Sorento,"2017, 2.0 L, 160 000 km","Bakı, bugün 19:12"
18 990 $,Toyota Corolla Cross,"2025, 2.0 L, 0 km","Bakı, dünən 21:48"
33 600 AZN,Lexus RX 350,"2012, 3.5 L, 154 000 km","Bakı, bugün 18:26"
22 500 AZN,Land Rover Range Rover,"2002, 4.4 L, 385 000 km","Bakı, bugün 10:16"
45 000 AZN,DAF 105 XF,"2013, 13 L, 1 025 666 km","Hacıqabul, bugün 00:19"
20 000 AZN,Mercedes GL 550,"2008, 5.5 L, 286 000 km","Bakı, bugün 10:02"
55 000 AZN,Mercedes Axor 1829,"2011, 6.4 L, 582 565 km","Salyan, bugün 12:45"
9 200 AZN,Mercedes C 320,"2001, 3.2 L, 442 000 km","Xudat, dünən 23:17"
36 000 $,Mercedes S 500,"2014, 4.7 L, 119 045 km","Bakı, bugün 00:17"
16 500 AZN,Nissan Navara,"2008, 2.5 L, 317 000 km","Bakı, bugün 14:49"
12 000 AZN,Daewoo Gentra,"2014, 1.5 L, 221 000 km","Xaçmaz, bugün 19:24"
45 450 $,BMW 530,"2022, 2.0 L, 36 000 km","Bakı, bugün 19:24"
22 300 AZN,Ford Transit,"2010, 2.2 L, 380 000 km","Bakı, bugün 19:24"
8 000 AZN,LADA (VAZ) 2107,"2010, 1.6 L, 75 000 km","Bakı, bugün 19:24"
8 700 AZN,Nissan Teana,"2003, 2.4 L, 420 000 km","Tovuz, bugün 19:24"
20 500 AZN,Mercedes E 300,"2007, 3.0 L, 279 000 km","Şəki, bugün 19:23"
20 500 AZN,Ford Transit,"2010, 2.2 L, 127 000 km","Bakı, bugün 19:23"
25 500 AZN,Hyundai Tucson,"2016, 2.0 L, 150 956 km","Bakı, bugün 19:23"
24 500 AZN,Ford Transit,"2008, 2.4 L, 312 000 km","Bakı, bugün 19:23"
3 700 AZN,BMW 320,"1993, 2.0 L, 300 000 km","Bakı, bugün 19:23"
26 300 AZN,Hyundai Elantra,"2016, 1.6 L, 175 418 km","Bakı, bugün 19:23"
32 900 AZN,Kia Sportage,"2016, 2.0 L, 129 500 km","Bakı, bugün 19:22"
18 400 AZN,Hyundai Elantra,"2015, 1.8 L, 159 277 km","Bakı, bugün 19:22"
130 000 $,Land Rover Range Rover,"2019, 5.0 L, 31 000 km","Bakı, bugün 19:22"
57 040 $,Toyota Highlander,"2024, 2.5 L, 0 km","Bakı, bugün 19:22"
28 100 AZN,LADA (VAZ) Niva,"2023, 1.7 L, 14 000 km","Bakı, bugün 19:22"
22 500 AZN,Mercedes C 220 d,"2008, 2.2 L, 243 735 km","Bakı, bugün 19:22"
42 999 $,Mercedes E 300 de,"2020, 2.0 L, 113 500 km","Bakı, bugün 19:22"
48 000 $,Land Rover Range Rover,"2017, 3.0 L, 109 000 km","Bakı, bugün 19:22"
13 200 AZN,Hyundai i10,"2010, 1.3 L, 157 565 km","Bakı, bugün 19:22"
14 900 AZN,Ford Transit,"1998, 2.5 L, 400 000 km","Masallı, bugün 19:23"
112 040 $,Toyota Land Cruiser,"2024, 3.3 L, 0 km","Bakı, bugün 19:21"
